Name,Team,BattingStyle,BowlingStyle,PlayingRole
Rohit Sharma,India,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Ishan Kishan,India,Left Hand Bat,,Wicketkeeper Batter
Sheryas Iyer,India,Right Hand Bat,"Right Arm Offbreak, Legbreak Googly",Top Order Batter
Virat Kohli,India,Right Hand Bat,Right Arm Medium,Top Order Batter
KL Rahul,India,Right Hand Bat,,Wicketkeeper Batter
Shubman Gill,India,Right Hand Bat,Right Arm Offbreak,Opening Batter
Suryakumar Yadav,India,Right Hand Bat,"Right Arm Medium, Right Arm Offbreak",Batter
Hardik Pandya,India,Right Hand Bat,Right Arm Medium Fast,Allrounder
Ravichandran Ashwin,India,Right Hand Bat,Right Arm Offbreak,Bowling Allrounder
Ravindra Jadeja,India,Left Hand Bat,Slow Left Arm Orthodox,Allrounder
Jasprit Bumrah,India,Right Hand Bat,Right Arm Fast,Bowler
Kuldeep Yadav,India,Left Hand Bat,Left Arm Wrist Spin,Bowler
Mohammed Shami,India,Right Hand Bat,Right Arm Fast,Bowler
Mohammed Siraj,India,Right Hand Bat,Right Arm Fast,Bowler
Shardul Thakur,India,Right Hand Bat,Right Arm Medium,Bowler
Hashmatullah Shahidi,Afghanistan,Left Hand Bat,Right Arm Offbreak,Top Order Batter
Ibrahim Zadran,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Opening Batter
Ikram Alikhil,Afghanistan,Left Hand Bat,,Wicketkeeper Batter
Najibullah Zadran,Afghanistan,Left Hand Bat,Right Arm Offbreak,Middle Order Batter
Rahmanullah Gurbaz,Afghanistan,Right Hand Bat,,Wicketkeeper Batter
Riaz Hassan,Afghanistan,Right Hand Bat,,Batter
Azmatullah Omarzai,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Allrounder
Mohammed Nabi,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Allrounder
Rahmat Shah,Afghanistan,Right Hand Bat,Legbreak Googly,Allrounder
Rashid Khan,Afghanistan,Right Hand Bat,Legbreak Googly,Bowling Allrounder
Abdul Rahman,Afghanistan,Right Hand Bat,Right Arm Fast Medium,Bowler
Fazalhaq Farooqi,Afghanistan,Right Hand Bat,Left Arm Fast Medium,Bowler
Mujeeb Ur Rahman,Afghanistan,Right Hand Bat,Right Arm Offbreak,Bowler
Naveen-ul-Haq,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Bowler
Noor Ahmad,Afghanistan,Right Hand Bat,Left Arm Wrist Spin,Bowler
Alex Carey,Australia,Left Hand Bat,,Wicketkeeper Batter
